title,channel,video_url,views,likes,comments,publishedAt,duration
On traverse une rivière remplie de crocodiles,SQUEEZIE,https://www.youtube.com/watch?v=Fz8645G3074,69849,4082,17,2024-02-13T18:00:06Z,PT1M
Démonstration étrange d'un Fakir,SQUEEZIE,https://www.youtube.com/watch?v=5wl4-cVpi2c,97692,4676,35,2024-02-11T18:00:06Z,PT48S
Je me fais agresser en tournage,SQUEEZIE,https://www.youtube.com/watch?v=JxCaurrYX_8,557547,45738,87,2024-02-08T18:00:10Z,PT57S
Je bloque ma main dans une tapette à souris,SQUEEZIE,https://www.youtube.com/watch?v=oRzIf_u2fyU,256920,14287,20,2024-02-06T18:00:23Z,PT50S
On énerve un chien dangereux,SQUEEZIE,https://www.youtube.com/watch?v=tAgBMs6mKOI,185894,12182,22,2024-02-04T18:00:31Z,PT56S
Il a refusé de bosser avec moi,SQUEEZIE,https://www.youtube.com/watch?v=0s1l7z4mH8k,2988435,135844,317,2024-02-02T06:00:00Z,PT19S
Horty affronte sa phobie des insectes,SQUEEZIE,https://www.youtube.com/watch?v=75r4AavP9Gk,60287,2979,21,2024-02-01T18:00:07Z,PT53S
La gestion des dramas,SQUEEZIE,https://www.youtube.com/watch?v=80Gd100ln9A,101200,5264,24,2024-02-01T06:00:04Z,PT32S
Le travail colossal de Théodort Bonnet,SQUEEZIE,https://www.youtube.com/watch?v=W_lpzLYW15Y,73936,4058,21,2024-01-31T06:00:11Z,PT51S
Une mamie pas comme les autres,SQUEEZIE,https://www.youtube.com/watch?v=CaRiXfS4t6I,1295443,84317,177,2024-01-30T18:00:05Z,PT45S
Comment on écrit un concept,SQUEEZIE,https://www.youtube.com/watch?v=4aiZHcnANks,66320,3592,6,2024-01-30T06:00:02Z,PT28S
On met la chaîne en pause,SQUEEZIE,https://www.youtube.com/watch?v=_0221Dr5_EI,432193,25922,193,2024-01-29T06:00:21Z,PT48S
Je prank mes invités sur un tournage,SQUEEZIE,https://www.youtube.com/watch?v=ddIWl9HGBQE,140872,7400,52,2024-01-28T18:00:19Z,PT56S
Il faut choisir le bon prout,SQUEEZIE,https://www.youtube.com/watch?v=_YLNvWoG0dg,190045,11024,27,2024-01-28T06:00:24Z,PT39S
Mister V gifle un géant,SQUEEZIE,https://www.youtube.com/watch?v=mrVNnY55_FE,1121482,73859,78,2024-01-25T18:00:31Z,PT40S
J'affronte ma thalassophobie,SQUEEZIE,https://www.youtube.com/watch?v=R_kMQcQ7Qww,417226,23724,108,2024-01-23T18:00:34Z,PT59S
"La dernière avant un moment, merci ❤️",SQUEEZIE,https://www.youtube.com/watch?v=HGu1t7cvP38,5438724,281595,10735,2024-01-22T19:21:54Z,PT1H3M37S
Hakim se fait avoir par un mentaliste,SQUEEZIE,https://www.youtube.com/watch?v=DIbq-Sjs7rw,1612794,79378,155,2024-01-21T18:00:10Z,PT59S
Le flop de Maxence,SQUEEZIE,https://www.youtube.com/watch?v=-mzb9UaEx40,724737,40259,33,2024-01-18T18:00:00Z,PT43S
Billy ne doit pas exploser le pétard,SQUEEZIE,https://www.youtube.com/watch?v=w0RrkckgpNY,895397,48689,57,2024-01-16T18:00:27Z,PT56S
